34232	9688	2
125	9371	2
32332	3425	21
118	8554	5
33062	8474	14
4574	3286	2
104	5733	11
123	9693	7
104	8268	18
14	5868	14
21848	3059	15
103	3335	6
1904	4421	8
17984	2663	2
107	9083	8
17452	5214	11
159	4819	2
5278	1580	16
14	5293	24
3390	3788	1
105	7456	8
103	1861	9
27714	8421	0
1060	6715	11
108	509	7
105	7682	20
24542	7610	0
32411	5090	6
4770	9906	8
2704	2853	4
198	8069	9
14	5163	14
924	3621	4
115	9984	18
1354	4512	0
101	8680	7
101	9766	5
144	1800	11
405	2772	9
102	3072	10
102	5805	7
1608	2125	4
3709	3646	8
118	3788	13
126	1501	1
9	1117	15
21921	8305	10
21	7958	6
2759	9846	9
120	9260	9
26427	6725	6
103	1285	11
103	8104	6
8845	8841	0
33024	6588	2
12127	505	0
131	3841	1
101	5669	22
8046	6148	6
134	7668	9
101	1612	2
461	6314	8
125	2777	2
102	267	5
975	7971	4
20349	7528	23
1186	5204	13
125	4787	15
33769	7823	4
35965	8909	4
1220	8061	23
251	171	14
109	698	9
104	8269	6
12	7654	3
12	133	12
160	7769	23
22878	507	23
131	7242	9
422	7865	0
463	9673	1
18961	7289	1
32997	7424	7
630	5653	21
8803	3947	1
175	5621	3
1662	7392	10
13	6355	3
367	3698	6
2084	3873	1
124	2170	4
455	1782	1
184	4529	0
102	5824	9
125	3230	6
135	734	12
8	2073	13
105	333	3
543	549	15
574	768	0
2573	8904	8
122	8084	7
14	516	10
6448	5100	23
317	1050	8
118	3296	21
120	4713	10
551	6175	6
1283	2535	1
5376	6532	2
4448	1597	14
5778	6707	9
788	3159	1
2079	5008	20
6239	8962	18
6683	6291	5
101	7179	3
30274	995	21
14	8937	15
115	8229	8
14	4878	20
18329	2928	11
12	9485	17
12	6149	13
10134	4124	15
145	7524	2
1614	6890	12
7199	2179	4
2	9343	9
2819	3938	10
1074	7416	21
691	7000	3
6165	3130	24
14	3042	15
3545	5483	8
9609	5804	20
108	243	3
904	5201	11
102	3754	4
3493	8151	15
4285	6276	12
4596	843	1
101	361	24
14	8160	7
2027	2440	1
2725	4249	24
518	4781	12
594	4422	3
102	6824	12
12	681	20
22650	6761	8
126	9401	2
12	9449	25
8375	1313	7
16187	5964	5
14	8524	17
4168	7965	15
1603	6153	3
178	4072	10
3022	1300	19
254	2401	12
15257	5871	6
12990	3204	9
144	6437	2
112	3262	9
1	4680	14
104	5641	17
165	4302	7
3186	4127	0
157	6136	0
12	5027	10
19532	2804	13
312	9554	12
14	5538	8
129	9866	12
154	828	3
203	3637	0
19558	7898	1
102	706	1
423	1427	12
135	1872	12
6040	7759	20
4140	4353	21
33021	3761	5
5902	9059	18
149	9693	4
106	2239	20
101	5129	14
101	5063	12
146	5696	14
101	6144	4
628	1670	2
5297	8382	14
158	1782	3
300	3600	12
22571	7811	10
136	1776	4
2112	4215	18
765	1480	13
127	8748	21
457	2901	25
157	6229	0
3681	3222	3
122	1083	15
10325	2525	10
103	5068	2
13168	4438	8
284	8729	9
1197	1010	5
124	6174	5
217	6031	4
12	1287	13
559	6793	0
3995	1798	1
1140	4651	9
102	384	6
116	9575	25
4058	4187	11
771	2792	21
3300	772	16
134	2214	39
266	1762	4
2086	1221	29
103	1708	20
9	635	4
3616	2858	13
10016	5301	4
165	997	20
113	3058	0
283	7966	6
580	7800	7
29300	468	9
12	6407	8
130	8264	12
120	8622	8
367	5018	10
731	6963	10
108	7990	3
109	6301	19
2103	5672	12
29204	9263	15
102	9005	1
123	7797	6
774	2682	17
12	6983	10
2500	7446	5
101	9124	4
14	4521	15
4845	402	8
14	8270	20
970	5922	14
116	130	10
817	627	4
35514	6148	13
14	9252	28
716	3918	16
1598	2044	10
10424	7358	27
33682	9131	3
1376	7139	15
11621	7694	12
17	128	13
119	8111	0
502	1510	4
19981	8190	13
130	9536	26
3074	597	5
112	2229	14
2229	2079	1
220	8140	0
103	3915	5
17159	9046	8
113	3259	0
104	7944	13
468	5348	5
9730	3553	25
153	7325	5
301	1201	7
5467	4435	18
141	4424	7
126	4849	20
487	5188	7
9781	151	1
103	1381	16
119	4110	1
14	1005	23
105	3502	5
19938	9952	26
128	3597	3
12	8777	4
352	2098	4
11546	2385	2
16	8455	1
137	7545	17
122	5917	9
1184	2143	6
751	6502	13
3087	993	10
107	1949	10
17382	6058	12
