120	118	22	31.49
101	226	20	46.41
116	433	9	49.03
104	829	5	20
280	14	12	11.6
688	101	3	4.56
108	1383	3	15.09
111	213	7	17.82
931	14	8	22.88
126	172	4	6.34
315	241	4	30.2
137	140	10	24.7
130	427	3	12.82
113	689	3	11.96
115	207	13	49.56
144	118	14	26.49
236	217	4	25.73
1402	102	3	8.73
319	162	3	15.74
102	451	8	20.47
548	102	4	6.38
428	103	4	5.17
4650	14	3	13.04
628	2	5	27.87
102	2758	4	21.45
104	882	6	27.15
135	372	4	19.19
999	591	3	36.42
261	655	3	27.39
346	152	4	21.26
893	122	5	31.02
111	565	4	15.7
419	107	11	56.02
1485	12	3	6.85
124	139	6	4.99
228	118	4	8.68
106	851	3	11.48
104	2221	5	31.55
101	478	4	5.31
524	120	3	11.79
121	694	6	36.42
183	712	4	34.57
112	3288	3	22.8
146	555	6	42.34
110	12	120	49.94
109	1456	4	22.88
125	345	3	9.48
12	273	8	5.48
102	959	11	57.96
1708	14	3	6
165	124	14	50.08
265	103	10	17.49
106	1254	9	68.28
150	1017	4	31.4
785	116	3	13.42
103	3048	3	13.97
2244	494	3	41.51
243	158	8	48.42
105	1750	6	41.67
208	141	3	8.22
102	824	5	14.54
2165	144	3	25.46
1862	14	3	6.65
746	14	5	6.99
631	108	6	28.64
112	975	5	28.75
3424	108	4	32.92
934	1190	5	74.62
103	556	6	15.08
106	1432	4	22.31
112	1642	6	45.61
21	57	9	18.8
153	121	25	91.51
989	132	5	37.05
139	1596	3	23.38
3263	114	5	50.07
104	132	59	141.25
678	151	6	46.93
128	158	4	4.9
188	107	7	11.93
872	120	3	15.18
106	260	9	29.3
121	533	7	40.41
125	318	5	19.43
109	1305	8	58.83
168	679	4	32.15
116	878	10	75.28
184	490	3	21.76
104	121	44	47.49
978	115	8	57.14
555	108	3	9.21
146	322	5	26.4
837	14	4	5.03
416	14	13	26.83
220	218	3	17.01
102	605	4	7.31
155	4673	3	38.32
152	141	5	9.22
193	12	11	4.39
388	151	4	22.57
410	131	5	26.33
961	101	3	6.41
117	1190	3	16.18
102	4197	4	28.98
134	124	27	85.67
105	695	6	28.43
424	110	3	7.73
750	116	3	13.13
103	1473	3	9.65
121	178	9	26.82
311	116	3	6.97
575	2716	6	104.76
145	111	9	7.68
107	105	150	432.14
183	799	4	35.74
399	103	5	7.71
2297	119	5	43.09
113	869	3	13.4
103	702	10	41.91
103	651	4	8.3
14	1084	4	7.08
2800	1375	4	70.18
539	114	3	10.52
628	59	9	71.04
593	102	8	24.94
111	1429	4	23.98
108	138	18	26.94
579	125	8	51.57
315	139	3	11.76
192	140	3	7.45
389	112	3	7.95
115	159	9	15.2
1296	14	7	23.4
2228	14	3	7.41
1164	122	4	24.93
136	516	3	15.14
163	140	3	4.96
133	110	36	91.03
1985	14	3	7.41
3428	101	4	23.66
518	101	4	5.88
331	2024	3	37.25
12	864	4	6.76
267	521	3	26.04
111	240	9	29.84
116	584	6	31.13
102	433	16	63.41
557	107	5	19.96
105	1589	3	14.79
119	226	3	4.9
301	587	4	39.54
414	12	8	12.83
110	687	3	10.57
1384	59	4	31.53
136	211	3	8.18
107	172	12	26.53
1703	152	3	25.09
675	101	3	4.36
118	3651	3	24.15
154	234	3	11.58
107	216	8	19.82
147	140	7	15.15
2116	122	3	21.13
117	4456	3	26.11
199	14	14	6.05
107	468	4	12.76
101	13	20	8.84
493	1161	4	50.83
663	16	3	14.56
141	177	6	20.59
2413	106	3	18.59
135	256	9	48.47
385	8	3	10.48
1000	126	3	16.86
190	111	8	18.84
112	2696	3	21.23
130	457	3	13.27
126	314	5	19.73
109	1057	5	27.84
101	1516	3	9.02
1143	14	4	7.08
4711	119	3	30.86
115	229	4	7.99
115	281	6	19.95
103	1092	3	7.73
1063	14	6	14.82
109	417	9	42.5
184	1242	6	65.37
103	2813	3	13.97
1131	124	3	17.37
467	186	4	30.97
2483	14	3	8.32
2	12	54	11.85
354	164	4	24.94
160	1554	3	25.79
105	4272	3	23.04
101	652	7	20.86
125	136	8	9.38
101	823	5	14.12
166	2	5	8.74
1730	14	4	10.46
103	4012	3	17.69
157	402	4	24.55
572	200	4	34.1
3448	14	3	10.93
2454	14	5	20.9
104	351	16	70.12
4302	14	3	13.04
151	103	16	5.38
370	14	10	12.57
135	972	3	19.21
105	647	6	26.87
182	948	3	26
251	12	10	8.04
16	113	42	110.69
12	1577	3	6.85
791	126	3	15.51
109	3035	3	20.25
160	430	4	25.45
103	332	5	5.38
115	987	3	14.53
1183	107	11	88.66
114	132	12	12.55
138	336	3	12.15
119	681	12	89.09
438	119	4	15.57
156	181	3	9.08
102	2254	3	12.39
174	179	3	11.59
